lat,lon,order
44.564550000000004,-123.26200000000001,1
44.56266,-123.26299000000002,2
44.562380000000005,-123.26191000000001,3
44.56483,-123.26066000000002,4
44.56633,-123.25991,5
44.5658,-123.25779000000001,6
44.565220000000004,-123.25554000000001,7
44.56497,-123.25402000000001,8
44.564840000000004,-123.25328,9
44.564690000000006,-123.25201000000001,10
44.56447000000001,-123.25074000000001,11
44.56419,-123.24861000000001,12
44.56398,-123.24611000000002,13
44.56389,-123.24371000000001,14
44.563930000000006,-123.23838,15
44.56398,-123.22703000000001,16
44.56407,-123.20753,17
44.564060000000005,-123.19672000000001,18
44.56420000000001,-123.19541000000001,19
44.56467000000001,-123.19382000000002,20
44.56555,-123.19204,21
44.56674,-123.18956000000001,22
44.567,-123.18864,23
44.567150000000005,-123.18771000000001,24
44.56725,-123.17867000000001,25
44.567260000000005,-123.17241000000001,26
44.567060000000005,-123.17052000000001,27
44.56631,-123.16669000000002,28
44.566160000000004,-123.16541000000001,29
44.56607,-123.1632,30
44.56595,-123.15734,31
44.565760000000004,-123.15134,32
44.565400000000004,-123.14916000000001,33
44.56459,-123.14686,34
44.563860000000005,-123.14548,35
44.56179,-123.14224000000002,36
44.561310000000006,-123.14092000000001,37
44.56107,-123.13914000000001,38
44.56101,-123.13047000000002,39
44.56092,-123.12288000000001,40
44.56058,-123.12127000000001,41
44.560030000000005,-123.12002000000001,42
44.55964,-123.11938,43
44.557750000000006,-123.11682,44
44.556830000000005,-123.11547000000002,45
44.55644,-123.11472,46
44.55606,-123.11363000000001,47
44.55586,-123.11247000000002,48
44.55579,-123.11007000000001,49
44.55579,-123.10150000000002,50
44.555800000000005,-123.07904,51
44.555820000000004,-123.07450000000001,52
44.55579,-123.06643000000001,53
44.55579,-123.06494000000001,54
44.55572,-123.06354,55
44.55572,-123.06162,56
44.55566,-123.06067000000002,57
44.555460000000004,-123.06030000000001,58
44.55529000000001,-123.06021000000001,59
44.55503,-123.06029000000001,60
44.55485,-123.06061000000001,61
44.554860000000005,-123.06102000000001,62
44.55501,-123.06129000000001,63
44.55528,-123.06143000000002,64
44.55579,-123.06146000000001,65
44.55707,-123.06163000000001,66
44.59385,-123.06174000000001,67
44.60278,-123.06177000000001,68
44.62689,-123.06185,69
44.63729,-123.06217000000001,70
44.64473,-123.06236000000001,71
44.646280000000004,-123.06224000000002,72
44.6495,-123.06171,73
44.66411,-123.05902,74
44.67024000000001,-123.05786,75
44.673030000000004,-123.05707000000001,76
44.676030000000004,-123.05601000000001,77
44.679750000000006,-123.05469000000001,78
44.68348,-123.05340000000001,79
44.68609000000001,-123.05279000000002,80
44.689460000000004,-123.05244,81
44.694500000000005,-123.05210000000001,82
44.69868,-123.05186,83
44.70158000000001,-123.0519,84
44.702420000000004,-123.05198000000001,85
44.70454,-123.05228000000001,86
44.706810000000004,-123.05284,87
44.70906,-123.05356,88
44.71163000000001,-123.05417000000001,89
44.71421,-123.05448000000001,90
44.716150000000006,-123.05452000000001,91
44.718070000000004,-123.05441,92
44.72115,-123.0541,93
44.73133000000001,-123.05307,94
44.73837,-123.05246000000001,95
44.74868,-123.05133000000001,96
44.751000000000005,-123.0511,97
44.75361,-123.05071000000001,98
44.75643,-123.04993,99
44.76108000000001,-123.04803000000001,100
44.769420000000004,-123.04454000000001,101
44.783530000000006,-123.03861,102
44.809250000000006,-123.02781000000002,103
44.81488,-123.0254,104
44.81709,-123.02416000000001,105
44.81945,-123.02245,106
44.82095,-123.02111000000001,107
44.8222,-123.01984000000002,108
44.8241,-123.01760000000002,109
44.826570000000004,-123.01461,110
44.82818,-123.01286,111
44.82978000000001,-123.01147000000002,112
44.83135,-123.01039000000002,113
44.83323,-123.00941000000002,114
44.83514,-123.00871000000001,115
44.836270000000006,-123.00841000000001,116
44.837120000000006,-123.00827000000001,117
44.8393,-123.00815000000001,118
44.84335,-123.00857,119
44.84812,-123.00914000000002,120
44.849320000000006,-123.00949000000001,121
44.85107000000001,-123.01029000000001,122
44.85277000000001,-123.01112,123
44.854350000000004,-123.0117,124
44.855880000000006,-123.01191000000001,125
44.85678,-123.01191000000001,126
44.858700000000006,-123.01149000000001,127
44.85983,-123.01104000000001,128
44.861670000000004,-123.00985000000001,129
44.868300000000005,-123.00371000000001,130
44.87008,-123.00217,131
44.871100000000006,-123.00147000000001,132
44.872800000000005,-123.00058000000001,133
44.873830000000005,-123.00018000000001,134
44.874810000000004,-122.99990000000001,135
44.87754,-122.99944,136
44.881130000000006,-122.99884000000002,137
44.886030000000005,-122.99788000000001,138
44.886970000000005,-122.99754000000001,139
44.888360000000006,-122.99675,140
44.889140000000005,-122.99615000000001,141
44.890240000000006,-122.99499000000002,142
44.89128,-122.99351000000001,143
44.892300000000006,-122.99172000000002,144
44.893570000000004,-122.98936,145
44.89448,-122.98789000000001,146
44.895590000000006,-122.98658,147
44.89661,-122.98571000000001,148
44.89728,-122.98526000000001,149
44.898320000000005,-122.98475,150
44.89941,-122.98441000000001,151
44.900800000000004,-122.98426,152
44.90223,-122.98442000000001,153
44.915530000000004,-122.98839000000001,154
44.91843,-122.98927,155
44.92114,-122.98988000000001,156
44.923,-122.99009000000001,157
44.92792,-122.99014000000001,158
44.939910000000005,-122.99012,159
44.95008000000001,-122.99008,160
44.957570000000004,-122.99002000000002,161
44.97072000000001,-122.99002000000002,162
44.97424,-122.99005000000001,163
44.97581,-122.99036000000001,164
44.978660000000005,-122.99154000000001,165
44.98528,-122.99442,166
44.986580000000004,-122.99509,167
44.987770000000005,-122.99594,168
44.98989,-122.99777000000002,169
44.991200000000006,-122.99887000000001,170
44.99195,-122.99939,171
44.99302,-122.99993,172
44.994310000000006,-123.00034000000001,173
44.99519,-123.00046,174
44.99691000000001,-123.00040000000001,175
44.99797,-123.00015,176
44.99907,-122.99971000000001,177
45.001940000000005,-122.99817000000002,178
45.011250000000004,-122.99315000000001,179
45.055460000000004,-122.96934000000002,180
45.06795,-122.96259,181
45.07173,-122.96052000000002,182
45.07303,-122.95961000000001,183
45.073710000000005,-122.95905,184
45.07768,-122.95506,185
45.08249000000001,-122.95018,186
45.100480000000005,-122.93188,187
45.15106,-122.88043,188
45.17067,-122.86043000000001,189
45.191900000000004,-122.83885000000001,190
45.19393,-122.83699000000001,191
45.1963,-122.83505000000001,192
45.20098,-122.83168,193
45.206590000000006,-122.82776000000001,194
45.21923,-122.81893000000001,195
45.22314,-122.81618000000002,196
45.225970000000004,-122.81399,197
45.23559,-122.80607,198
45.2505,-122.79371,199
45.27575,-122.77283000000001,200
45.278740000000006,-122.77038,201
45.27971,-122.76976,202
45.2804,-122.76947000000001,203
45.281040000000004,-122.76934000000001,204
45.28502,-122.76929000000001,205
45.292480000000005,-122.76927,206
45.29484,-122.76924000000001,207
45.29845,-122.76905000000001,208
45.31748,-122.76910000000001,209
45.33605,-122.76910000000001,210
45.337770000000006,-122.76904,211
45.339650000000006,-122.76883000000001,212
45.34169000000001,-122.76843000000001,213
45.343090000000004,-122.76806,214
45.34628000000001,-122.76692000000001,215
45.365,-122.75935000000001,216
45.37256000000001,-122.75631000000001,217
45.38141,-122.75276000000001,218
45.38369,-122.75187000000001,219
45.388310000000004,-122.75022000000001,220
45.39656,-122.74696000000002,221
45.40102,-122.74518,222
45.40305,-122.74455,223
45.40431,-122.74426000000001,224
45.40588,-122.74401,225
45.407990000000005,-122.74384,226
45.415290000000006,-122.74389000000001,227
45.42038,-122.74396000000002,228
45.42472,-122.74400000000001,229
45.435080000000006,-122.74407000000001,230
45.436840000000004,-122.74407000000001,231
45.437490000000004,-122.74400000000001,232
45.43835000000001,-122.74376000000001,233
45.439370000000004,-122.74326,234
45.439890000000005,-122.74294,235
45.44174,-122.74143000000001,236
45.4435,-122.73988000000001,237
45.44413,-122.73910000000001,238
45.4446,-122.73817000000001,239
45.44498,-122.73691000000001,240
45.445530000000005,-122.73423000000001,241
45.445930000000004,-122.73306000000001,242
45.446540000000006,-122.73187000000001,243
45.44715,-122.73104000000001,244
45.44832,-122.73002000000001,245
45.449850000000005,-122.72908000000001,246
45.451150000000005,-122.72827000000001,247
45.45174,-122.72774000000001,248
45.45264,-122.72649000000001,249
45.45322,-122.72503,250
45.453520000000005,-122.72331000000001,251
45.45344,-122.72007,252
45.453450000000004,-122.71817000000001,253
45.45355000000001,-122.71750000000002,254
45.454,-122.71610000000001,255
45.45734,-122.70988000000001,256
45.46322000000001,-122.69953000000001,257
45.46526,-122.69560000000001,258
45.46717,-122.69247000000001,259
45.468320000000006,-122.69118000000002,260
45.46927,-122.69024000000002,261
45.469620000000006,-122.68975,262
45.46992,-122.68909000000001,263
45.47007000000001,-122.6885,264
45.47026,-122.68691000000001,265
45.470220000000005,-122.68514,266
45.469550000000005,-122.68067,267
45.469550000000005,-122.68009,268
45.46972,-122.67924000000001,269
45.470270000000006,-122.67813000000001,270
45.47092000000001,-122.67751000000001,271
45.47162,-122.67724000000001,272
45.472010000000004,-122.67723000000001,273
45.47272,-122.67741000000001,274
45.47516,-122.67832000000001,275
45.47639,-122.67864000000002,276
45.47880000000001,-122.67872000000001,277
45.48087,-122.67871000000001,278
45.482980000000005,-122.67883,279
45.485130000000005,-122.67912000000001,280
45.485820000000004,-122.67914,281
45.486290000000004,-122.67907000000001,282
45.48698,-122.67874,283
45.487700000000004,-122.67807,284
45.48884,-122.67654000000002,285
45.49018,-122.67507,286
45.49114,-122.67434000000002,287
45.492650000000005,-122.67365000000001,288
45.49286,-122.67359,289
45.493950000000005,-122.67343000000001,290
45.496050000000004,-122.67335000000001,291
45.499340000000004,-122.67322000000001,292
45.500800000000005,-122.67328,293
45.50207,-122.67366000000001,294
45.50499000000001,-122.67490000000001,295
45.5067,-122.67561,296
45.507940000000005,-122.67605,297
45.50894,-122.67612000000001,298
45.509910000000005,-122.67574,299
45.51146000000001,-122.67499000000001,300
45.511860000000006,-122.67511,301
45.512170000000005,-122.67562000000001,302
45.512890000000006,-122.67829,303
45.513200000000005,-122.67944000000001,304
45.513760000000005,-122.67913000000001,305
45.514920000000004,-122.67850000000001,306
45.51587000000001,-122.67801000000001,307
45.51612,-122.67895000000001,308
45.51547,-122.67936000000002,309
